"","Date","result","local.team","away.team","season","league","local.goals","away.goals","period","mean_gd","mean_ppg","outcome","value"
"1",2019-08-15,"1 - 0","Athletic Bilbao","FC Barcelona",2019,"spain",1,0,0,0.477777777777778,1.71111111111111,"goal_diff",1
"2",2019-08-16,"1 - 3","Celta Vigo","Real Madrid",2019,"spain",1,3,0,0.477777777777778,1.71111111111111,"goal_diff",-2
"3",2019-08-16,"1 - 1","Valencia","Real Sociedad",2019,"spain",1,1,0,0.477777777777778,1.71111111111111,"goal_diff",0
"4",2019-08-16,"2 - 1","Mallorca","Eibar",2019,"spain",2,1,0,0.477777777777778,1.71111111111111,"goal_diff",1
"5",2019-08-16,"0 - 1","Leganes","Osasuna",2019,"spain",0,1,0,0.477777777777778,1.71111111111111,"goal_diff",-1
"6",2019-08-16,"4 - 4","Villarreal","Granada",2019,"spain",4,4,0,0.477777777777778,1.71111111111111,"goal_diff",0
"7",2019-08-17,"1 - 0","Alaves","Levante",2019,"spain",1,0,0,0.477777777777778,1.71111111111111,"goal_diff",1
"8",2019-08-17,"0 - 2","Espanyol","FC Sevilla",2019,"spain",0,2,0,0.477777777777778,1.71111111111111,"goal_diff",-2
"9",2019-08-17,"1 - 2","Real Betis","Valladolid",2019,"spain",1,2,0,0.477777777777778,1.71111111111111,"goal_diff",-1
"10",2019-08-17,"1 - 0","Atletico Madrid","Getafe",2019,"spain",1,0,0,0.477777777777778,1.71111111111111,"goal_diff",1
"11",2019-08-22,"0 - 1","Granada","FC Sevilla",2019,"spain",0,1,0,0.477777777777778,1.71111111111111,"goal_diff",-1
"12",2019-08-22,"2 - 1","Levante","Villarreal",2019,"spain",2,1,0,0.477777777777778,1.71111111111111,"goal_diff",1
"13",2019-08-23,"0 - 0","Osasuna","Eibar",2019,"spain",0,0,0,0.477777777777778,1.71111111111111,"goal_diff",0
"14",2019-08-23,"1 - 1","Real Madrid","Valladolid",2019,"spain",1,1,0,0.477777777777778,1.71111111111111,"goal_diff",0
"15",2019-08-23,"1 - 0","Celta Vigo","Valencia",2019,"spain",1,0,0,0.477777777777778,1.71111111111111,"goal_diff",1
"16",2019-08-23,"1 - 1","Getafe","Athletic Bilbao",2019,"spain",1,1,0,0.477777777777778,1.71111111111111,"goal_diff",0
"17",2019-08-24,"0 - 0","Alaves","Espanyol",2019,"spain",0,0,0,0.477777777777778,1.71111111111111,"goal_diff",0
"18",2019-08-24,"0 - 1","Mallorca","Real Sociedad",2019,"spain",0,1,0,0.477777777777778,1.71111111111111,"goal_diff",-1
"19",2019-08-24,"0 - 1","Leganes","Atletico Madrid",2019,"spain",0,1,0,0.477777777777778,1.71111111111111,"goal_diff",-1
"20",2019-08-24,"5 - 2","FC Barcelona","Real Betis",2019,"spain",5,2,0,0.477777777777778,1.71111111111111,"goal_diff",3
"21",2019-08-29,"1 - 1","FC Sevilla","Celta Vigo",2019,"spain",1,1,0,0.477777777777778,1.71111111111111,"goal_diff",0
"22",2019-08-29,"2 - 0","Athletic Bilbao","Real Sociedad",2019,"spain",2,0,0,0.477777777777778,1.71111111111111,"goal_diff",2
